ano;mês;dia ;hora;velo;dire;prec;Rajada;;;;;;;;;
2007;1;14;1;0,7;68;12,6;4,6;;;;;;;;;
2007;1;14;2;1;163;0,8;2,7;;;;;;;;;
2007;1;14;3;0,8;298;12;3,5;;;;;;;;;
2007;1;14;4;1;310;3;3,4;;;;;;;;;
2007;1;14;5;1;4;1;2;;;;;;;;;
2007;1;14;6;0,9;316;0;2,4;;;;;;;;;
2007;1;14;7;0,6;314;0;2,6;;;;;;;;;
2007;1;14;8;0,8;315;0;2;;;;;;;;;
2007;1;14;9;0,7;242;0;2;;;;;;;;;
2007;1;14;10;2,8;133;0;5;;;;;;;;;
2007;1;14;11;2,1;135;0;5,4;;;;;;;;;
2007;1;14;12;2,4;165;0;5,4;;;;;;;;;
2007;1;14;13;2,2;160;0;5,1;;;;;;;;;
2007;1;14;14;2;147;0;5,9;;;;;;;;;
2007;1;14;15;2;135;0;6,1;;;;;;;;;
2007;1;14;16;2,6;168;0;6,7;;;;;;;;;
2007;1;14;17;2,5;170;0;6,7;;;;;;;;;
2007;1;14;18;1,6;172;0;5,3;;;;;;;;;
2007;1;14;19;2;184;0;5,3;;;;;;;;;
2007;1;14;20;1,6;187;0;4,9;;;;;;;;;
2007;1;14;21;2,3;192;0;5,5;;;;;;;;;
2007;1;14;22;1,5;212;0;5,7;;;;;;;;;
2007;1;14;23;1;219;0;3,9;;;;;;;;;
2007;1;15;0;0,9;229;0;5;;;;;;;;;
2007;1;15;1;0,4;67;0;3,4;;;;;;;;;
2007;1;15;2;2,1;24;0;5;;;;;;;;;
2007;1;15;3;1,9;145;4,8;5,3;;;;;;;;;
2007;1;15;4;1,7;191;1,8;4,2;;;;;;;;;
2007;1;15;5;1,7;187;0;4,6;;;;;;;;;
2007;1;15;6;0,8;133;0,2;4,6;;;;;;;;;
2007;1;15;7;1,4;175;0;3,3;;;;;;;;;
2007;1;15;8;2,1;170;0;5,4;;;;;;;;;
2007;1;15;9;2,4;186;0;5,7;;;;;;;;;
2007;1;15;10;1,9;177;0;5,7;;;;;;;;;
2007;1;15;11;1,9;178;0;4,6;;;;;;;;;
2007;1;15;12;1,4;192;0;4,5;;;;;;;;;
2007;1;15;13;1,5;114;0;3,5;;;;;;;;;
2007;1;15;14;2,1;170;0;4,6;;;;;;;;;
2007;1;15;15;2;177;0;5;;;;;;;;;
2007;1;15;16;1,8;178;0;4,3;;;;;;;;;
2007;1;15;17;1;161;0,2;4,2;;;;;;;;;
2007;1;15;18;0,5;276;4,6;1,8;;;;;;;;;
2007;1;15;19;0,9;165;1,4;1,8;;;;;;;;;
2007;1;15;20;0,5;351;1,8;1,5;;;;;;;;;
2007;1;15;21;0,3;242;0,4;1,3;;;;;;;;;
2007;1;15;22;0,7;217;0;1,6;;;;;;;;;
2007;1;15;23;0,4;226;0;1,6;;;;;;;;;
2007;1;16;0;0,9;348;0;2,5;;;;;;;;;
2007;1;16;1;1;126;0;2,4;;;;;;;;;
2007;1;16;2;0,6;124;0;2,8;;;;;;;;;
2007;1;16;3;0,8;156;0;1,7;;;;;;;;;
2007;1;16;4;0,8;224;0;1,8;;;;;;;;;
2007;1;16;5;0,5;249;0;1,8;;;;;;;;;
2007;1;16;6;0,9;298;0;1,8;;;;;;;;;
2007;1;16;7;0,5;313;0;1,9;;;;;;;;;
2007;1;16;8;1,3;123;0;2,5;;;;;;;;;
2007;1;16;9;1,6;100;0;3,2;;;;;;;;;
2007;1;16;10;2,1;120;0;4,8;;;;;;;;;
2007;1;16;11;2,2;98;0;4,1;;;;;;;;;
2007;1;16;12;2,9;105;0;5;;;;;;;;;
2007;1;16;13;1,6;141;0;5;;;;;;;;;
2007;1;16;14;2,1;183;0;5,7;;;;;;;;;
2007;1;16;15;2,6;195;0,8;6,5;;;;;;;;;
2007;1;16;16;1,8;227;2,6;5,2;;;;;;;;;
2007;1;16;17;1,6;251;1,2;4,8;;;;;;;;;
2007;1;16;18;2;199;0,6;5,8;;;;;;;;;
2007;1;16;19;3,4;201;0,2;10;;;;;;;;;
2007;1;16;20;3;217;0;9;;;;;;;;;
2007;1;16;21;2;225;0;6,5;;;;;;;;;
2007;1;16;22;2,4;220;0;7,2;;;;;;;;;
2007;1;16;23;2,4;215;0;6;;;;;;;;;
2007;1;17;0;2,4;216;0;6;;;;;;;;;
2007;1;17;1;1,4;283;0;4,5;;;;;;;;;
2007;1;17;2;1,1;278;0;2,6;;;;;;;;;
2007;1;17;3;1,1;314;0;1,9;;;;;;;;;
2007;1;17;4;0,9;279;0;1,6;;;;;;;;;
2007;1;17;5;0,1;342;0;1,3;;;;;;;;;
2007;1;17;6;0,3;336;0;1,2;;;;;;;;;
2007;1;17;7;1,1;322;0;2,1;;;;;;;;;
2007;1;17;8;0,9;16;0;2,6;;;;;;;;;
2007;1;17;9;2;111;0;5;;;;;;;;;
2007;1;17;10;3,1;115;0;6,1;;;;;;;;;
2007;1;17;11;2,9;71;0;6,1;;;;;;;;;
2007;1;17;12;3,3;63;0;7,6;;;;;;;;;
2007;1;17;13;3,6;60;0;7,8;;;;;;;;;
2007;1;17;14;3,9;45;0;8,5;;;;;;;;;
2007;1;17;15;3,6;52;0;8,6;;;;;;;;;
2007;1;17;16;4,5;41;0;8,9;;;;;;;;;
2007;1;17;17;3,3;26;0;10;;;;;;;;;
2007;1;17;18;2,8;349;0;8,4;;;;;;;;;
2007;1;17;19;1;328;0;5,8;;;;;;;;;
2007;1;17;20;1,9;354;0;6;;;;;;;;;
2007;1;17;21;3,2;357;0;10,2;;;;;;;;;
2007;1;17;22;1,4;7;0;6,1;;;;;;;;;
2007;1;17;23;0,7;137;0;4,5;;;;;;;;;
2007;1;18;0;1,7;40;0;3,4;;;;;;;;;
2007;1;18;1;0,6;42;0;3,4;;;;;;;;;
2007;1;18;2;1,1;8;0;3,8;;;;;;;;;
2007;1;18;3;1;84;0;5,6;;;;;;;;;
2007;1;18;4;1,5;8;0;5,4;;;;;;;;;
2007;1;18;5;2,5;341;0;6;;;;;;;;;
2007;1;18;6;4;328;0;9,9;;;;;;;;;
2007;1;18;7;3,4;343;0;10,3;;;;;;;;;
2007;1;18;8;4,6;345;0;9,8;;;;;;;;;
2007;1;18;9;4,5;343;0;9,7;;;;;;;;;
2007;1;18;10;3,6;357;0;8,7;;;;;;;;;
2007;1;18;11;3,7;9;0;8,3;;;;;;;;;
2007;1;18;12;4,3;17;0;8,4;;;;;;;;;
2007;1;18;13;4,5;11;0;8,7;;;;;;;;;
2007;1;18;14;4,9;20;0;9,5;;;;;;;;;
2007;1;18;15;4,2;27;0;8,9;;;;;;;;;
2007;1;18;16;3,9;41;0;8,1;;;;;;;;;
2007;1;18;17;3,3;39;0;7,8;;;;;;;;;
2007;1;18;18;3,8;32;0;8,5;;;;;;;;;
2007;1;18;19;2,9;34;0;8,2;;;;;;;;;
2007;1;18;20;2;8;0;6,5;;;;;;;;;
2007;1;18;21;2,1;11;0;5,2;;;;;;;;;
2007;1;18;22;2;16;0;5,2;;;;;;;;;
2007;1;18;23;1,9;4;0;5,2;;;;;;;;;
2007;1;19;0;1,6;353;0;4,3;;;;;;;;;
2007;1;19;1;1,3;358;0;4,3;;;;;;;;;
2007;1;19;2;0,8;298;0;3,6;;;;;;;;;
2007;1;19;3;1,2;345;0;2,9;;;;;;;;;
2007;1;19;4;1,9;14;0;4,7;;;;;;;;;
2007;1;19;5;2;357;0;5,9;;;;;;;;;
2007;1;19;6;2,7;22;0;5,8;;;;;;;;;
2007;1;19;7;2;5;0;5,8;;;;;;;;;
2007;1;19;8;3,2;18;0;6,4;;;;;;;;;
2007;1;19;9;2,5;9;0;6;;;;;;;;;
2007;1;19;10;3,4;11;0;7,1;;;;;;;;;
2007;1;19;11;2,5;51;0;7,3;;;;;;;;;
2007;1;19;12;3,1;61;0;7,8;;;;;;;;;
2007;1;19;13;3,7;36;0;8,4;;;;;;;;;
2007;1;19;14;4,7;41;0;9,6;;;;;;;;;
2007;1;19;15;3,5;37;0;9,4;;;;;;;;;
2007;1;19;16;4,4;28;0;9,4;;;;;;;;;
2007;1;19;17;2,9;45;0;10,4;;;;;;;;;
2007;1;19;18;2,1;41;0;7;;;;;;;;;
2007;1;19;19;2,6;30;0;5,5;;;;;;;;;
2007;1;19;20;3,4;23;0;7,4;;;;;;;;;
2007;1;19;21;2,4;3;0;7,4;;;;;;;;;
2007;1;19;22;2,7;8;0;6;;;;;;;;;
2007;1;19;23;1,7;10;0;5,3;;;;;;;;;
2007;1;20;0;1,9;14;0;4;;;;;;;;;
2007;1;20;1;2,6;19;0;5,3;;;;;;;;;
2007;1;20;2;3,3;21;0;6,5;;;;;;;;;
2007;1;20;3;2,4;21;0;7,1;;;;;;;;;
2007;1;20;4;2,4;348;0;5,9;;;;;;;;;
2007;1;20;5;2;355;0;6,5;;;;;;;;;
